,Segment Start Time,Segment End Time,Time of Max Velocity,Max Velocity,Median Velocity,Last Velocity,Broke Lock
0,1264550418.0,1264575698.0,1264555589.0,311.3686828613281,133.56834411621094,178.40823364257812,No
1,1264578599.0,1264610473.0,1264580695.0,364.8183288574219,143.9349822998047,181.60165405273438,No
2,1264612075.0,1264636818.0,1264618645.0,359.4488830566406,171.0384521484375,121.92321014404297,No
3,1264636818.0,1264723218.0,1264650919.0,2997.98486328125,112.3919448852539,103.71308135986328,No
4,1264723218.0,1264769389.0,1264752814.0,282.0596923828125,111.92765808105469,114.66532897949219,No
5,1264778559.0,1264780665.0,1264778721.0,264.4983215332031,149.42453002929688,112.94705963134766,No
6,1264782897.0,1264809618.0,1264800700.0,441.6274719238281,162.10194396972656,135.84619140625,No
7,1264809618.0,1264822064.0,1264819563.0,403.7639465332031,155.87738037109375,146.12057495117188,No
8,1264822366.0,1264864035.0,1264863863.0,563.5255126953125,180.82872009277344,360.68231201171875,No
9,1264884301.0,1264896018.0,1264887808.0,462.17364501953125,199.35243225097656,162.2498016357422,No
10,1264896018.0,1264924641.0,1264899398.0,398.8876037597656,172.47190856933594,121.4142074584961,No
11,1264927676.0,1264962696.0,1264962694.0,7329.56396484375,165.5905303955078,7323.87255859375,Yes
12,1264966308.0,1264970259.0,1264966387.0,427.9249572753906,196.1453857421875,189.37149047851562,No
13,1264973309.0,1264982418.0,1264974833.0,616.507080078125,240.8411865234375,311.187255859375,No
14,1264982418.0,1265025132.0,1265024892.0,944.3380126953125,272.15203857421875,456.14385986328125,No
15,1265046270.0,1265051611.0,1265046422.0,745.8502807617188,406.1458435058594,442.36895751953125,No
16,1265061066.0,1265061121.0,1265061112.0,774.5042724609375,466.5232849121094,703.3436889648438,Yes
17,1265061123.0,1265068818.0,1265064267.0,1047.5257568359375,501.07489013671875,664.0465087890625,No
18,1265068818.0,1265106210.0,1265081330.0,1151.601806640625,410.9580383300781,402.311767578125,No
19,1265106212.0,1265133149.0,1265127892.0,769.0048828125,238.65316772460938,167.6381072998047,No
20,1265140069.0,1265155218.0,1265146837.0,751.6640014648438,179.22103881835938,279.50897216796875,No
21,1265155218.0,1265241618.0,1265212668.0,1210.8621826171875,169.63308715820312,144.77542114257812,No
22,1265241618.0,1265328018.0,1265267348.0,2019.35595703125,185.73960876464844,264.4693603515625,No
23,1265328018.0,1265414418.0,1265340732.0,454.40478515625,208.89358520507812,211.0052947998047,No
24,1265414418.0,1265431564.0,1265416340.0,454.7400817871094,197.41114807128906,129.9606170654297,No
25,1265434911.0,1265468518.0,1265455236.0,426.4010009765625,163.0750732421875,155.3974151611328,No
26,1265487927.0,1265500818.0,1265494809.0,357.3003845214844,139.54302978515625,112.53514862060547,No
27,1265500818.0,1265502574.0,1265501649.0,195.9706268310547,119.38883209228516,83.02669525146484,No
28,1265505078.0,1265509301.0,1265506654.0,204.74012756347656,116.25383758544922,134.1451873779297,No
29,1265509454.0,1265521070.0,1265515399.0,262.3999328613281,109.24838256835938,140.11444091796875,No
30,1265524900.0,1265548853.0,1265536070.0,309.766357421875,104.64334106445312,115.88563537597656,No
31,1265555201.0,1265563394.0,1265559155.0,268.8935852050781,139.12554931640625,192.3068084716797,No
32,1265565797.0,1265575652.0,1265572749.0,430.9738464355469,214.76943969726562,169.00694274902344,No
33,1265575654.0,1265587218.0,1265580236.0,725.0304565429688,223.0235137939453,287.71893310546875,No
34,1265587218.0,1265607177.0,1265605227.0,319.7290954589844,159.7995147705078,217.1186065673828,No
35,1265616620.0,1265626078.0,1265625997.0,4424.99609375,210.0640869140625,2257.297607421875,No
36,1265648869.0,1265673618.0,1265673539.0,492.94036865234375,244.1422119140625,265.9259338378906,No
37,1265673618.0,1265756347.0,1265746390.0,784.040283203125,256.03369140625,382.7607421875,No
38,1265853060.0,1265932818.0,1265857422.0,810.805908203125,238.89537048339844,165.0171661376953,No
39,1265932818.0,1266019218.0,1265992537.0,588.4653930664062,127.29995727539062,167.67112731933594,No
40,1266019218.0,1266048282.0,1266046817.0,1419.518798828125,85.18962097167969,461.1127014160156,No
41,1266053906.0,1266064790.0,1266057033.0,181.72608947753906,87.01834869384766,108.6601791381836,No
42,1266067254.0,1266073787.0,1266073290.0,361.3818664550781,103.7501220703125,113.79571533203125,No
43,1266096457.0,1266105618.0,1266098253.0,449.1748352050781,105.74169921875,139.1284942626953,No
44,1266105618.0,1266116309.0,1266106062.0,234.1966094970703,85.57496643066406,77.937255859375,No
45,1266124029.0,1266191124.0,1266184911.0,720.2086181640625,107.49272155761719,97.62837219238281,No
46,1266195649.0,1266263244.0,1266263240.0,1687.458740234375,141.9052734375,1640.9456787109375,Yes
47,1266269596.0,1266270424.0,1266270403.0,484.5093078613281,299.39434814453125,412.6016845703125,Yes
48,1266270426.0,1266270468.0,1266270426.0,394.80157470703125,324.2497863769531,290.30157470703125,Yes
49,1266270470.0,1266278418.0,1266274595.0,581.3062133789062,302.26593017578125,292.9045715332031,No
50,1266278418.0,1266342822.0,1266318377.0,716.4728393554688,327.097412109375,210.28549194335938,No
51,1266350260.0,1266364818.0,1266357110.0,692.8751220703125,231.48471069335938,204.03607177734375,No
52,1266364818.0,1266451218.0,1266439410.0,503.70782470703125,174.69004821777344,171.847412109375,No
53,1266451218.0,1266460308.0,1266458146.0,269.8240661621094,128.0037384033203,136.7470245361328,No
54,1266466131.0,1266492246.0,1266476224.0,937.2605590820312,119.4102783203125,108.39517211914062,No
55,1266493497.0,1266514078.0,1266512685.0,1833.3919677734375,111.15286254882812,460.9089050292969,No
56,1266519010.0,1266537618.0,1266531961.0,297.36248779296875,111.35040283203125,131.07383728027344,No
57,1266537618.0,1266608323.0,1266570312.0,428.8603820800781,118.65165710449219,155.81729125976562,No
58,1266613312.0,1266624018.0,1266617486.0,417.33856201171875,114.65333557128906,108.24297332763672,No
59,1266624018.0,1266678739.0,1266676322.0,516.2813720703125,113.75358581542969,151.83221435546875,No
60,1266699015.0,1266710418.0,1266704220.0,295.3782958984375,133.93345642089844,109.55925750732422,No
61,1266710418.0,1266796818.0,1266759089.0,878.1519165039062,284.0770568847656,345.9476318359375,No
62,1266796818.0,1266807001.0,1266796913.0,496.490478515625,269.4047546386719,261.0790710449219,No
63,1266821503.0,1266828200.0,1266821582.0,422.0653991699219,238.47857666015625,183.65806579589844,No
64,1266832817.0,1266868244.0,1266841234.0,433.02398681640625,192.68392944335938,151.14300537109375,No
65,1266879278.0,1266880473.0,1266880022.0,211.70021057128906,136.5238037109375,161.52093505859375,No
66,1266884232.0,1266969618.0,1266914025.0,1585.659912109375,151.819091796875,172.3164520263672,No
67,1266969618.0,1267056018.0,1267042716.0,942.347900390625,102.25375366210938,106.92809295654297,No
68,1267056018.0,1267140567.0,1267122339.0,357.9527282714844,114.16099548339844,137.14669799804688,No
69,1267158423.0,1267228818.0,1267161623.0,383.6885986328125,167.88330078125,201.46292114257812,No
70,1267228818.0,1267283098.0,1267229024.0,330.07275390625,140.4387664794922,232.70236206054688,No
71,1267306352.0,1267312749.0,1267307698.0,417.9278564453125,160.9647216796875,136.56924438476562,No
72,1267317476.0,1267318698.0,1267317766.0,216.1549835205078,129.0534210205078,148.61988830566406,No
73,1267320429.0,1267397658.0,1267395001.0,806.5836181640625,136.353271484375,169.2285614013672,No
74,1267403983.0,1267488018.0,1267406530.0,594.442138671875,223.66989135742188,175.40989685058594,No
75,1267488018.0,1267489106.0,1267489089.0,278.1568298339844,178.55030822753906,276.1420593261719,Yes
76,1267493378.0,1267531762.0,1267531310.0,1186.5439453125,154.90267944335938,496.4703674316406,No
77,1267532150.0,1267574418.0,1267544226.0,626.8139038085938,208.7728729248047,237.97186279296875,No
78,1267574418.0,1267589096.0,1267588629.0,1425.1812744140625,169.35150146484375,1037.409423828125,No
79,1267594644.0,1267660818.0,1267598896.0,703.2954711914062,221.7340850830078,151.66552734375,No
80,1267660818.0,1267747218.0,1267742432.0,461.79315185546875,146.74191284179688,163.16456604003906,No
81,1267747218.0,1267758959.0,1267758887.0,1928.361328125,203.68280029296875,2056.489501953125,No
82,1267766009.0,1267774194.0,1267772131.0,658.4110107421875,196.44967651367188,187.99386596679688,No
83,1267779131.0,1267833618.0,1267824229.0,472.589111328125,201.36856079101562,222.51014709472656,No
84,1267833618.0,1267835282.0,1267833950.0,334.82318115234375,203.98529052734375,193.98655700683594,No
85,1267840520.0,1267884095.0,1267875125.0,878.07666015625,185.1086883544922,198.4926300048828,No
86,1267903213.0,1267910668.0,1267908401.0,447.5718078613281,163.24240112304688,142.18807983398438,No
87,1267910670.0,1267920018.0,1267915385.0,267.67877197265625,141.7335205078125,140.95787048339844,No
88,1268524818.0,1268572799.0,1268572766.0,3146.900146484375,91.50999450683594,2072.461181640625,Yes
89,1268578865.0,1268611218.0,1268589984.0,3201.901123046875,161.42031860351562,114.37220764160156,No
90,1268611218.0,1268621883.0,1268615499.0,514.40673828125,151.15805053710938,151.18521118164062,No
91,1268624074.0,1268697618.0,1268686638.0,649.4642333984375,139.04244995117188,116.44789123535156,No
92,1268697618.0,1268770947.0,1268707644.0,658.4754028320312,128.57196044921875,117.37291717529297,No
93,1268772872.0,1268784018.0,1268774904.0,387.35302734375,106.95906829833984,99.21723937988281,No
94,1268784018.0,1268870189.0,1268790081.0,880.4425048828125,144.1236572265625,172.4315948486328,No
95,1268872397.0,1268956818.0,1268952876.0,2747.26513671875,174.89988708496094,271.6304016113281,No
96,1268956818.0,1269012469.0,1268957236.0,433.9012756347656,119.63046264648438,145.77748107910156,No
97,1269015591.0,1269038034.0,1269033711.0,299.5618591308594,129.68707275390625,142.8476104736328,No
98,1269040954.0,1269043218.0,1269041900.0,174.2541961669922,112.68827056884766,104.89651489257812,No
99,1269129618.0,1269140510.0,1269140508.0,12463.9228515625,145.41197204589844,14226.318359375,Yes
100,1269158194.0,1269210522.0,1269205698.0,697.85791015625,127.84575653076172,113.14762115478516,No
101,1269210524.0,1269216018.0,1269214067.0,343.77105712890625,116.73029327392578,125.2612075805664,No
102,1269216018.0,1269296088.0,1269271766.0,958.177978515625,138.93695068359375,192.64527893066406,No
103,1269306782.0,1269363618.0,1269321258.0,322.1300354003906,138.55931091308594,139.91432189941406,No
